"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"接口单元测试","添加用户接口","正反用例","0","4","1","0","0"
"业务集成测试","用户模块","获取用户信息","0","0","1","0","0"
"业务集成测试","用户模块","登录","0","0","1","0","0"
"业务集成测试","用户模块","删除用户","0","0","1","0","0"
"接口单元测试","添加用户接口","","0","0","1","0","0"
"接口单元测试","登录接口","正反用例","0","3","1","0","0"
"业务集成测试","用户模块","上传","0","0","1","0","0"
"业务集成测试","用户模块","更新用户","0","0","1","0","0"
"业务集成测试","用户模块","新增用户","0","0","1","0","0"
